mzmed;S1;S2;S3;S4;S5;S6;S7;S8;S9;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20
84,5;181726,725;212711,7766;237849,9375;222183,594;253317,8909;114230,4261;92838,50707;272229,8535;147825,1357;95034,01399;79741,98305;42294,15404;169540,4079;;173749,9388;260696,9682;249934,8984;283735,6794;39292,18078;23272,87812
85,5;259622,5433;175426,2634;73237,78996;4655,532647;214592,3996;140033,8483;135360,9785;293321,0455;;39879,12971;82494,24789;178724,4002;206314,3069;;48132,25275;296145,9561;195701,9459;290355,6878;142649,3051;287587,0261
86,5;183607,9669;166672,4986;227157,1098;277575,1078;238179,3556;80367,63072;;;208586,8796;123109,5179;212183,7395;106049,4007;;192738,8642;271887,1264;79579,72873;265126,5462;293799,5996;220970,3617;12924,88908
87,5;95677,94937;234502,5914;56643,54526;208092,3432;48225,48368;199580,9217;81376,85124;164377,3421;57288,56365;107898,0687;217379,0995;216181,3364;205924,1385;63196,56079;58996,17163;260907,6078;47316,30718;44409,38006;111694,8094;128729,5146
88,5;13832,78774;9004,400923;282854,723;10116,04999;278603,4046;288042,6794;240850,8236;153127,0755;112121,5207;67816,21207;76866,83031;221822,4694;225119,6437;103088,0223;41480,65324;368,0282318;141624,6977;115312,416;47103,57408;278640,1659
89,5;47710,55038;44601,31061;190077,0632;194939,3825;66638,20802;293476,7483;144282,6882;53743,90128;115018,0628;278190,4776;101353,8639;37290,00123;194100,7979;253899,1719;161190,2915;69708,19127;174001,8934;112656,8563;24382,36685;236646,4392
90,5;250185,1783;165122,7278;93919,56925;236301,8076;136901,503;171808,6236;16261,36445;257284,4278;247548,0889;34387,34025;50493,82858;205774,6501;2884,143495;260222,8291;253372,1749;276444,9871;132714,8818;297785,2854;95257,15861;213242,7409
91,5;102139,2883;238954,939;175760,7634;294498,1674;196678,3526;158090,3492;195096,3942;286619,4596;81881,76875;236084,2547;182586,6116;140001,1205;75416,16611;6476,263836;12152,57465;232221,6515;55300,07688;67561,93067;293593,8018;134908,4264
92,5;174899,0967;157549,602;279583,6034;25440,91652;18914,41668;282608,8389;102257,4623;204814,8995;258356,6967;45421,58311;137182,9043;182569,505;198485,7655;288780,3409;14867,35221;259896,6339;;;229103,635;264282,1398
93,5;252097,0453;130016,0839;278235,4842;;43532,64061;226008,6165;202347,809;255903,669;248416,7048;239279,5176;131290,0413;258938,4776;6580,505935;206136,3138;257183,1452;254276,119;139150,0344;86159,97105;247383,6146;82869,08037
94,5;235625,3689;41584,88853;176948,9877;22577,10993;264012,8056;63450,1145;251764,8818;46413,55503;263712,6817;290392,7896;142613,2729;283059,1787;247094,9679;129944,7376;;;204871,0274;99907,43034;241115,401;105591,8051
95,5;210608,7836;;;157472,5774;10902,33016;166656,071;118200,9938;54348,08486;71135,37432;237464,79;192428,5637;144892,8699;34403,084;98887,9362;228449,5857;53526,63602;166822,6833;231355,0968;117551,4128;208046,4834
96,5;259267,072;53171,61668;;123389,7169;58185,37919;100711,2122;;53820,79105;123232,6866;23142,7142;205589,9182;33118,63098;249739,423;191070,0585;108836,1383;187035,9824;233454,7463;297929,0201;11177,31354;202340,0303
97,5;34398,02966;282668,9202;91578,46397;;;43758,93322;76301,04053;;271413,836;19420,12574;17733,40955;228753,5891;184007,4017;70795,37531;285901,5455;183024,2894;203972,9128;41979,27562;17282,66556;187271,7583
98,5;272787,1215;167950,559;289441,9609;55282,16364;;5536,733375;183094,1053;235864,5209;;216208,9277;226353,7793;;170880,2263;29854,82896;68090,51418;202584,2034;100049,9389;;84856,91928;129198,5546
99,5;66369,43285;35721,75298;137953,9011;13143,47353;;254368,8532;223266,2151;254250,2259;173535,2027;233681,0517;297026,283;262927,6741;38039,40649;279119,4897;214825,0884;281978,8553;179079,3374;278098,6912;287872,6476;278536,6859
100,5;179884,5421;51874,583;81523,96424;72654,70426;255935,7778;;269053,9429;259920,0947;141128,497;8656,498182;151207,3199;125272,0316;244850,726;165295,9131;224327,1534;142894,0064;157542,8414;129049,0119;299539,5773;166284,7441
101,5;188649,8041;101833,0499;23297,50709;137344,4283;127427,8983;176039,4419;62827,88313;264707,834;65051,56292;205658,5854;46156,3161;3464,467243;48215,41452;164319,3102;76951,7308;4331,699532;242016,1855;118278,9763;210142,9104;114805,0269
102,5;161481,2844;11412,17273;230100,3202;291451,2722;178388,0853;140532,4927;164257,6172;156364,8208;247305,4283;149506,4449;236990,5548;57544,24771;12566,1566;199589,535;116386,2855;167726,9273;145739,1149;;216678,6417;246793,1007
103,5;194864,2663;196672,2142;291187,5652;253209,4798;116500,5668;127935,4265;246062,043;20341,35173;224150,7242;196490,5325;21516,49732;174640,5885;115319,474;219190,388;260898,7029;276937,242;147499,8247;226163,8392;250766,9959;141498,4602
104,5;247512,6307;47431,58362;129480,0686;;104813,9892;191493,1613;133139,0211;7020,847692;80882,69661;186121,5043;;265482,6131;31020,2244;121793,6021;195176,338;297712,3438;209996,3257;182690,2355;11002,31333;219674,0793
105,5;53681,35111;;67085,41061;138079,1426;218363,7466;116377,4475;270778,33;96431,36114;22436,29689;217033,9976;16182,52847;132512,0117;125287,2582;264157,6739;172383,5491;76168,55592;52572,75285;115334,4942;138256,6126;193365,4028
106,5;84979,1356;238438,2543;21399,94086;114103,8881;295392,0866;263875,6867;222830,7557;124928,7067;239640,5872;242652,3424;98604,49531;25762,21971;61225,07403;275267,2145;;59722,7011;21718,27117;209043,9374;286482,9436;223934,8092
107,5;298997,1664;129840,8235;181329,6606;160495,6937;24701,5553;258471,7082;;17085,10257;272137,6431;116465,9149;272890,4675;173702,5096;230806,5769;187740,1051;157097,7734;19429,22852;120483,1526;68981,46779;191976,012;94570,80411
108,5;121749,8012;214295,514;59414,19541;144615,5886;287814,1111;189776,1171;221943,7626;;32850,33147;105305,0952;253798,1014;175206,147;271147,3573;150185,2513;163384,9843;120639,3117;47589,35649;151586,6176;244049,8095;60628,01993
109,5;1175,249445;248002,8293;36386,87821;237978,8118;109200,5725;289662,1935;19276,85755;214526,2971;;207213,6425;214205,0925;102114,9837;71530,45888;177433,3104;141248,5445;123156,3577;44243,74153;167011,5561;196235,1995;261416,3228
110,5;209594,106;159544,7908;120853,2005;145168,8756;;286273,441;189280,8837;180497,1809;177654,238;298191,7007;271853,8681;8832,90158;52341,31399;66076,24775;209936,7009;88098,35955;250283,2431;105499,8384;73443,83974;158,8771854
111,5;27662,97832;7969,105759;29303,26844;59657,21553;54353,84481;92952,26937;59035,52488;188936,2241;195386,7071;791,9036571;129812,5302;201482,5737;194412,5697;25694,33943;290803,0994;290857,5176;285245,8715;182664,8883;225361,7317;83764,15109
112,5;134946,5444;88264,10218;212396,9855;54598,23925;104212,8507;152572,139;149826,5709;232940,3851;238774,2192;247111,6844;148441,3784;142519,6522;287380,4076;239506,2771;297298,7233;88536,07476;164281,995;;260841,6636;205677,3814
113,5;74827,105;170053,5844;3155,729913;273919,0104;154283,7557;24316,52053;35052,76603;248586,6046;162286,6243;188462,2464;250814,392;128295,5193;226580,4554;184197,4795;58727,53389;139105,268;254299,2458;258395,8953;254455,7328;79056,70453
114,5;253490,3239;29074,60014;272436,9547;107527,0121;210780,1876;141403,3578;2823,925542;7835,247862;63487,91954;193123,8965;286589,2622;291364,6468;694,2249606;294706,744;212829,9199;47356,48092;100105,8183;51588,29122;130995,4818;295049,0756
115,5;179227,095;207046,4454;75529,91682;61612,80533;70710,44113;150845,9076;231034,4443;262415,4765;255131,0382;296272,731;149329,8215;110795,8439;27752,50587;;293652,8358;98188,55556;206134,6361;;168108,6621;110396,7062
116,5;27314,44842;130265,6557;73074,08415;64863,51294;1235,512763;33956,50823;259592,8736;;250651,6334;39467,51605;159803,0788;180872,8371;71573,65492;7945,197267;187520,751;;141092,9288;155581,0639;269206,5492;270784,1442
117,5;207652,7005;182376,7613;197200,9842;77291,96462;237500,3906;240804,455;112247,3987;169327,7184;69493,72089;22350,54813;228433,2697;29603,11192;117014,2889;69605,75086;139517,2947;125164,9873;143484,3634;237033,9768;226229,0436;158589,4856
118,5;255940,1604;170341,4806;247061,2326;253069,2763;61303,26289;8670,071859;233148,2892;76579,69776;2852,588387;169681,3042;71447,02322;15643,97136;149788,539;90778,83689;252378,4463;176826,4053;46384,8353;286619,7265;83918,31714;238413,0153
119,5;79853,63189;85861,27183;231950,6269;163819,8832;40457,33;;283592,9522;101388,0423;131809,9141;;197890,3586;75837,7702;272102,8968;29655,91031;208262,5061;120671,6019;103538,6245;234539,1953;225766,1844;194453,8243
120,5;30202,50305;171520,6868;266578,563;201485,0341;64390,14515;19691,10558;288179,6198;290509,6938;155166,4377;181482,3657;64653,62762;196015,0179;156467,2576;273947,052;223847,6453;269037,3212;70319,88128;225305,3243;16450,14682;209461,5019
121,5;40220,11259;99823,25753;143851,1222;55209,97541;267416,6325;165702,8417;88119,46951;19816,16192;280277,783;266857,5729;299341,7918;138034,8126;160640,2981;219677,5067;272594,3407;215522,2832;31689,62541;138827,7778;6846,359145;238052,2296
122,5;164194,8038;218011,4805;168459,2604;47311,43957;249708,471;104722,9301;76017,98039;128129,4249;197474,5062;188685,6684;113376,3276;117200,7394;191118,7955;114132,9094;35239,35507;279724,6035;161174,4229;116053,2121;219737,3536;261651,5734
123,5;226966,704;119128,4067;96252,20016;13902,52825;27944,12117;117811,7381;203714,3625;26885,62535;26861,18266;97855,12974;288838,6326;294685,6526;179260,7546;191447,2215;163889,8306;35044,43518;109085,512;76757,23327;226783,4506;287537,8747
124,5;136307,274;214151,8745;4618,097833;150726,9633;147180,9553;288307,6629;104919,4068;117874,6146;170294,2505;212820,8074;80194,35506;33541,97208;57253,18058;93101,693;228805,4505;282096,15;179617,6304;164076,3695;53482,23879;161493,0763
125,5;80280,71752;199630,4483;252601,237;;149651,8903;99881,52154;272848,7035;213787,263;149897,5925;40049,09501;194213,4215;14352,69354;33112,05637;50377,04096;154148,2125;173374,8823;15259,62461;294653,7081;20178,43682;13869,67866
126,5;92320,45451;41050,90486;260011,799;295937,895;251253,5952;139790,3928;250765,884;89181,97485;74374,43917;200741,0391;62251,07428;181156,1035;205514,3058;2783,991624;80837,07061;86004,07563;160002,776;;82506,05534;6442,656562
127,5;153400,0595;228792,1708;133711,7469;161751,8492;240615,9552;193795,8105;180025,0277;132382,6251;4241,630688;250268,0915;;75906,14315;3630,805441;140715,3623;287393,131;24675,24824;290159,7436;167182,5984;150162,1226;298174,6961
128,5;79044,34154;76325,67196;84281,24279;212755,9012;165383,3756;34875,38871;226501,5545;292851,957;20646,27847;38288,26456;148581,599;271099,4797;112216,0644;23700,90206;296100,9002;199683,9444;154861,556;15252,44294;150685,1677;114143,3458
129,5;215871,2819;282476,0086;12098,45032;54351,18804;225067,8172;295602,8006;65429,88192;;96200,0048;258934,4229;124294,1397;37796,92552;206698,769;210902,1539;248019,0164;154897,6006;62300,55407;204472,7905;93294,38569;32707,75691
130,5;47803,26122;236865,0234;108919,4671;95940,47378;70891,26426;185277,0545;5078,106255;276687,087;3028,050739;92116,21291;241932,706;41150,10217;;189262,2876;282278,8107;141170,0192;190157,1507;280537,4882;186188,2687;125980,0879
131,5;190668,1033;57831,59003;149842,4893;162703,6763;148016,6244;254273,3253;5095,658519;56403,61104;78298,94243;129954,0335;125064,2551;7891,915337;229029,965;46268,49305;35663,59903;152010,6962;269185,6235;267851,5527;138638,6403;197052,8605
132,5;72895,91464;114990,0716;234503,2577;35047,80796;132154,931;71350,99646;117883,9346;15511,24162;271197,3815;224555,2488;216562,8489;160297,56;88860,13252;9039,332562;221038,8493;240791,1009;192705,5195;36969,11291;150247,014;15422,89256
133,5;278712,6816;52937,51027;251323,9872;205210,4445;128808,2226;215330,0774;219122,05;268082,4195;274701,9226;249207,0767;253271,7694;57127,701;229056,7657;72233,79232;168981,6882;21555,98636;210756,5168;128270,2759;146901,8072;230450,0862
134,5;170190,9569;;137495,148;255134,6762;29232,55662;;128836,5782;230047,5434;270542,2091;87475,51674;67463,70772;185907,9174;90331,7537;224404,3122;259280,373;138470,78;81505,62558;182678,6032;155604,8872;127993,5912
135,5;67342,40136;241917,2192;114555,303;184490,9164;136724,5196;234679,8021;281670,2562;48717,18359;;197750,2777;272839,157;99576,34175;193679,3671;108873,4198;233593,6375;293794,9622;209778,24;268564,5818;209963,3191;190775,5416
136,5;198800,7805;184895,9995;75155,66841;18534,33722;186538,5877;218406,4008;75365,58011;;;38664,97077;279352,9157;70856,02185;29847,80602;225646,2524;74399,7377;292843,4087;7665,827238;78681,54718;1526,211205;63120,06614
137,5;160307,9749;245810,8372;;293947,2998;234799,6412;21494,40785;;;155089,4236;182430,0716;264803,7009;268533,6095;87497,40165;236806,5433;53651,04055;184440,4242;235685,2152;294993,7631;268789,0011;69251,8058
138,5;202118,5974;84399,2293;223603,1193;;206254,538;241426,6694;;237205,9485;178424,2432;109616,4346;3133,150087;192791,6149;148928,9176;60787,27183;26270,03827;190109,4775;24154,59528;104436,6876;140156,9844;299687,5465
139,5;183514,4786;281763,4148;172857,7231;;26209,34528;240380,9064;;175625,1838;1373,100941;269953,7967;268888,1502;44423,09512;172679,919;114625,5843;205180,0997;175056,9991;160174,5344;62640,60407;16292,78739;69589,4845
140,5;209619,434;189387,6122;215301,4244;5535,288903;;69616,1968;;195989,3167;238499,9568;187083,0291;157534,8211;54223,27985;272213,9841;104976,6143;56829,69911;244569,6898;58986,4223;96826,51791;8437,690889;21820,14709
141,5;95717,86542;249468,8629;;22186,82699;114262,4185;141630,2825;;48980,0558;172442,5425;173185,4527;138104,4735;148669,5886;77248,55221;120502,886;217889,0931;291035,6679;19833,08876;226548,8555;107687,9424;24457,32061
142,5;160086,3644;228937,2096;251579,2059;272399,5734;60589,21238;;;215240,4773;159330,8318;26812,88077;152302,6505;246463,2773;106505,5125;;130695,5748;70144,01817;77951,81926;21617,962;129135,6715;173391,7193
143,5;4091,84502;47344,36946;226718,7369;253850,9426;60691,8387;42620,31756;153610,7094;55717,91748;105216,6006;240343,8022;128383,4808;268607,69;276360,9682;108843,7046;224174,932;;286931,4374;221514,7137;71230,53865;222608,9659
144,5;189453,2016;298667,3213;40445,72012;44404,7084;261978,4242;;242499,1359;246867,1574;166482,4767;285049,6884;266029,1209;19661,03064;201739,4884;282296,1558;105615,632;60980,32189;;93138,2383;205303,0985;78092,20836
145,5;85780,34291;;154623,3211;239301,1277;183266,2982;175104,1993;;45394,29818;283439,1076;259734,4582;287817,5042;267776,7218;242301,7836;180230,0474;165617,4722;80957,90276;272428,9574;2790,346468;42262,26374;267317,7214
146,5;67439,46217;69412,51132;;132354,9395;53093,19236;166471,6584;;;132688,1114;186045,808;123344,4466;56791,92449;1894,907398;222978,5722;112549,7069;247066,3934;263512,7206;99617,51265;111960,6441;102760,7727
147,5;135225,3316;129781,4706;215004,1685;;199986,3743;122549,0304;2771,292019;183750,4897;;235951,716;189798,6485;116842,7633;14412,30428;183252,8155;71850,89714;203641,0181;205812,7273;278388,5464;189561,9218;124634,4778
148,5;255083,9736;119968,2214;138659,6294;24293,83227;119197,5211;210126,3972;54727,03512;76392,53405;198514,9223;;212482,0987;131525,4926;128412,2621;103474,4864;57610,82737;247342,7774;24853,71698;234868,8945;38620,33195;105397,3088
149,5;183719,4879;22775,23744;34348,81903;179445,216;123916,9889;185682,2415;281085,5351;57431,64995;261397,1705;;9666,76148;171720,5245;137927,5745;110042,438;201253,4613;190873,1216;19218,28492;29520,84162;100882,1978;146441,9687
150,5;14742,60623;287424,8875;151869,0075;;256113,2876;13992,34863;192295,6717;96976,48334;86078,33959;19957,40092;135440,1516;103814,6596;283543,8997;242273,0518;119328,3561;242032,0784;81593,20742;8068,09877;272646,1246;5524,055229
151,5;245836,875;89247,98101;39196,14753;73100,36998;265673,9729;263275,2051;79006,6343;281585,4117;246593,3692;140891,176;243568,2071;7820,961161;;148561,2572;218388,1778;78645,31456;101741,3599;192414,9132;48043,65805;55455,64132
152,5;134396,2355;;23561,57628;62067,73777;557,8966976;203045,8009;131157,2833;221405,0046;114332,0827;140432,7126;210346,693;30158,19559;243943,93;;261740,0113;4123,636884;191125,8745;250847,7246;72188,90566;261229,3822
153,5;183823,4925;174343,2894;192362,6741;211245,5154;1558,377804;178374,8635;277157,8451;116134,2207;114727,7325;211878,0088;294571,9431;75711,02868;287061,3364;264435,1453;75746,89556;280915,7775;130245,0149;10210,73628;121301,5413;39147,11036
154,5;228653,8128;134900,7722;209058,0207;109780,7856;153455,9163;;97651,43774;37822,25241;35855,38073;266844,5646;180623,8681;271078,5697;158738,1713;265718,3654;193007,6086;80352,88159;58008,90644;156742,2573;244081,1539;249924,8266
155,5;258298,8865;184393,2852;170836,7472;207257,715;232874,4572;;118065,8643;204393,6215;132155,5899;244169,5405;11020,75286;218093,2424;160266,0054;253682,1931;208463,3386;181460,0143;;3175,370454;11791,58639;242072,1533
156,5;151540,5639;245099,8605;273637,4396;121603,9467;225958,6033;141736,3633;;71596,59734;84005,78786;208982,8583;279894,3254;233568,1026;202732,1377;111253,7663;71148,52685;116433,3654;77992,48483;272437,8202;200104,1366;68704,91336
157,5;104801,9369;161667,7251;48799,56266;8531,607894;214774,6218;34992,16795;207312,2997;260591,0642;36159,75383;208523,2469;179513,9649;56014,72933;23177,15819;154619,6439;179008,5299;154974,2781;12374,81755;145673,2624;113350,4864;157752,2383
158,5;249587,0917;34973,58897;33919,34246;207841,1508;131349,5933;120424,9091;38142,19262;220925,1609;;250997,3361;63944,86986;290950,2025;297143,8083;259119,9081;52633,97551;47616,18378;80905,67621;66571,88553;147707,4875;63162,39974
159,5;237024,4461;89176,21121;158219,9189;173165,6773;17790,79198;201275,8672;69814,69925;218253,2689;157445,2925;274450,0785;162689,9994;288630,2047;891,5103184;217598,9798;230597,1033;107186,6415;270948,3294;282838,1074;3419,91962;195122,5381
160,5;156481,494;296308,0179;216542,4611;224361,2859;76610,03212;64061,49827;184516,7496;98157,62945;112584,5537;84941,3241;235924,1231;296884,9719;79759,45125;180410,7783;18956,20243;261304,9499;11976,45743;272402,8954;;84124,95785
161,5;70722,71515;93754,06311;139502,057;25076,37452;159975,9459;145583,6692;244972,6398;71225,6396;114772,134;112851,5781;286004,3063;41171,68207;238483,8677;36277,36252;149814,4757;263647,3928;36068,83872;72015,19764;68834,19328;98468,23391
162,5;191877,1938;214497,6346;217096,8238;99587,17843;2606,780076;143698,1105;19693,57099;119950,6814;168844,5651;204326,2135;294255,0155;232753,4626;71918,14491;30389,23752;116378,9087;249437,8278;246800,8454;228292,9957;185433,1387;
163,5;27995,10183;29756,56351;256286,5744;146036,0564;6534,923073;295769,1769;178044,7212;235217,4376;241871,3063;6271,83654;48016,18699;242196,779;236135,5943;276043,3996;29961,23306;294533,2407;65736,56616;195558,3104;;160845,4362
164,5;225693,6396;296696,5713;150983,6008;279146,4278;159800,3371;227780,0248;231449,2481;148120,9674;239533,7696;240097,8094;14774,8512;236901,1784;268433,1072;111740,9541;16637,72722;62451,79508;262936,785;180119,9988;;101976,4321
165,5;116373,522;116076,32;191987,2621;13083,50552;297910,801;213948,6664;111543,4077;167841,4162;158168,6876;151937,9161;146443,4528;122634,6207;262059,5311;205274,6573;227459,1467;256877,9907;120477,2512;;155941,2279;231563,4135
166,5;186076,8116;155135,5458;84855,0869;44148,69047;48801,22941;14830,60519;43137,99151;168387,1422;151118,0643;122832,8832;196418,9378;171312,0862;264618,4427;138873,4688;10816,99138;272634,7102;;47219,20431;61655,62648;47858,62309
167,5;285753,1671;221385,5156;94793,67019;2750,051717;157447,3084;286255,409;243004,1683;251379,4563;245870,8437;275279,6826;273585,5116;94209,62958;83588,80878;48540,19872;114538,0494;;279093,4979;12070,43209;171817,3589;285434,4028
168,5;143791,4687;129710,8721;179664,3045;10303,42621;8908,862475;125499,2565;169710,2269;91516,55267;231918,4865;293432,3648;8397,179953;226311,3529;133972,0514;291603,367;;276179,6811;203845,8058;69431,27333;97185,21235;292419,9823
169,5;229000,4545;88608,77341;55408,77655;66753,67819;281796,6158;29926,75314;94202,46201;178553,9171;176396,5198;235523,5084;237008,2355;110165,3695;13990,22329;;53154,55615;28274,20406;64258,8766;176384,8555;148044,2416;208329,1815
170,5;41938,0276;101710,9639;251587,825;90833,11035;22343,8232;239039,7252;201865,111;8031,49421;233810,9624;6390,733421;244397,5357;;117177,5009;269103,5978;184458,673;151352,9279;139579,9893;57539,08771;242522,491;225819,1597
171,5;43527,83541;134510,8295;98214,64776;285326,8463;70673,94385;64030,34831;146675,9211;175665,97;42567,32333;64152,07683;33697,60303;;271825,5539;238807,1741;262646,0753;238379,2055;31453,26988;28111,10516;123325,3636;190590,4315
172,5;182912,2924;168829,958;190818,6902;222663,2099;137991,3638;12853,10614;122514,1399;184164,8802;254917,666;;138687,1937;264028,6755;256727,9436;118254,931;9624,505258;18912,46919;5451,221734;101134,6783;236207,2732;85754,46744
173,5;101618,9203;12362,83352;229192,2131;197768,8169;110468,1441;187298,4891;288864,8142;239493,066;;212051,0059;36885,59226;213251,9629;91524,60977;140124,0188;38603,04068;202157,1791;296513,1399;123591,6332;121248,1492;75458,88132
174,5;62072,26985;188573,34;122346,2512;35061,28326;273889,0846;89580,88231;133212,9047;;2892,253255;17271,37366;102759,2591;206962,7146;222610,0741;175208,6451;19427,55851;198064,4852;130898,8237;167129,9287;291293,8321;133312,4303
175,5;177320,8783;133298,214;186698,2939;244861,9691;54353,73305;112623,9526;;29309,9506;198263,7991;3126,666031;79415,10695;68661,65524;88875,44735;162375,9413;238071,3452;34836,91825;292539,8918;138810,066;31445,51665;46296,3461
176,5;74528,73978;275726,5854;1449,576402;177067,3494;103034,9159;;106676,207;78390,86641;247419,8149;139907,2121;96152,80315;176658,7276;2275,204348;204093,3554;174767,8203;11703,53385;202120,8049;135056,0739;45859,77628;217472,4812
177,5;152875,4399;109743,0653;251839,4496;184116,1161;;96988,79207;169244,7382;40409,72856;55651,64318;120790,6646;231964,9426;20486,35306;299247,249;49218,96184;30397,25449;204799,6449;151012,6768;98707,93901;262142,5136;184152,7484
178,5;228475,4884;71286,88165;42414,28988;;190768,2725;238616,2186;277766,6997;260932,16;2312,067206;280440,5681;145502,1668;70251,64606;1128,921371;99542,21496;242520,2868;47112,52012;99322,55728;163454,9714;246987,9144;161183,4661
179,5;59834,54831;226574,1115;;49037,38211;25993,55816;117673,9689;60076,95523;14217,83654;263816,875;257650,2148;239566,818;272340,1123;236768,1445;242772,2916;131057,6798;37395,4963;61115,5992;272828,8035;180128,4743;124690,6749
180,5;129498,0931;129198,6952;140495,6026;210075,0589;15100,97172;235923,8439;46725,99845;229869,0946;295521,7187;50095,54249;106729,4071;9113,829152;275379,964;204826,51;99840,76931;14647,19298;60212,45437;184937,3926;295819,4994;17541,93279
181,5;;6717,094157;31640,61248;1051,603496;159911,555;277680,9235;115640,5898;24053,72146;214370,1766;83145,78392;168718,8977;51973,24232;213164,8485;296876,1928;241806,5194;80944,55187;261201,2949;130621,636;28497,17786;221701,7241
182,5;134219,8963;;186810,8268;265977,7639;239297,6908;297931,2046;47837,99832;53666,13742;220716,8934;280793,7544;61999,94683;271738,876;77914,50059;123696,173;145497,1854;276854,7419;101705,5744;91669,20851;196078,0214;166201,326
183,5;295838,1788;281314,4864;;296587,6432;226585,0185;55737,55921;292530,1143;198093,5177;74105,65885;15788,72224;83025,85562;250084,3137;108752,633;54297,47174;19973,60483;212966,7471;198442,2253;62209,04901;143594,0567;47214,64226
184,5;28249,46157;23120,96465;180666,1248;;68158,86058;94065,1683;254879,571;92426,96552;70710,26319;13355,54305;250002,016;151870,4176;263675,6243;188941,4818;62567,9455;14563,82175;270920,0666;164957,2891;231413,3701;148754,6801
185,5;109320,9149;275709,3415;53716,46637;142153,0575;;143237,8436;195087,3671;17575,37124;194330,6816;292622,5993;120354,8766;149114,887;264702,8477;251758,3587;285475,6961;214342,9598;154876,7709;71504,99904;22954,34473;152405,7868
186,5;129736,8211;165700,6437;167424,552;256889,4424;2497,896729;;212030,5624;293819,9821;39008,94955;109418,1558;40848,92808;63458,87206;231024,4317;159938,1913;41764,79146;79992,71938;239635,3166;89720,73517;60823,42111;66928,66905
187,5;21201,63428;242634,4781;4597,169187;296432,2667;220864,1523;154457,4096;;89445,25546;264387,8338;243505,2439;61867,15079;38380,71855;282463,5917;137187,3985;201696,5409;253116,6575;294416,2481;39903,551;20993,0656;168938,344
